00000000|ALLS|  Allstate Life Insurance Co of New York
00008431|AMGE| American General Life Insurance Company
00089308|AXAA|    AXA Equitable Life Insurance Company
00160708|BANN|           Banner Life Insurance Company
00197577|CETN|                 Centrian Life Insurance
00205122|CINN|       Cincinnati Life Insurance Company
00308437|GRAN|           Grange Life Insurance Company
00310996|JOHU| John Hancock Life Insurance Company USA
00381774|JOHY|  John Hancock Life Insurance Company NY
00395100|LNLI|    Lincoln Life & Annuity Company of NY
00402453|LNNA| Lincoln National Life Insurance Company
00480757|NORA|   North American Co for Life and Health
00547640|PROT|       Protective Life Insurance Company
00639059|PRUC|            Pruco Life Insurance Company
00708993|PRUJ|   Pruco Life Insurance Co of New Jersey
00724406|RELL|        ReliaStar Life Insurance Company
00776313|RELR|          ReliaStar Life Insurance of NY
00787242|SAGI|          Sagicor Life Insurance Company
00837434|SAVE|    Savings Bank Life Insurance Co of MA
00921173|TRAF|Transamerica Financial Life Insurance Co
00943032|TRAN|     Transamerica Life Insurance Company
01067197|UTST|United States Life Ins in the City of NY
01077104|WILP|    William Penn Life Insurance Co of NY
