ALLS|R|==,LI|NY|06/08/2013,1:19:35 PM|FIC400BKNY Life Application Booklet 0613 - NY.pdf|New Life Application Booklet NY|
ALLS|R|==,LI|NY|02/02/2013,1:19:35 PM|VLA0760NY TotalAccumulator VUL-NY (0712).pdf|TotalAccumulator Application Supplement NY|
ALLS|R|==,LI|NY|02/02/2013,1:19:35 PM|NYLK42 ALICNY HIV Consent Form NY.pdf|HIV Consent NY|Must complete and sign
ALLS|R|==,LI|NY|02/02/2013,1:19:35 PM|FIC127MBANY Military Servicemembers Disclosure (0111).pdf|Military Servicemembers Disclosure NY|
ALLS|R|==,LI|NY|02/02/2013,1:19:35 PM|NYLR14-2 ALICNY Life Buyer's Guide NY (0111).pdf|Life Buyers Guide NY|
ALLS|R|==,LI|NY|02/02/2013,1:19:35 PM|FIC121MBANY Regulation 60 Booklet (MBA) 0113 F.pdf|Regulation 60 Booklet NY|
ALLS|R|==,LI|NY|02/02/2013,1:19:35 PM|ELA0727NY - Ultra Index App Supplement NY (0111) F.pdf|UltraIndex Application NY|
ALLS|L|==,LI|NY|02/02/2013,1:19:35 PM|LB145NY-7 Government Allotment Information (0111) F.pdf|Government Allotment NY|
ALLS|L|==,LI|NY|02/02/2013,1:19:35 PM|NYLR275-1 Policy Illustration Disclosure (0111) F.pdf|Illustration Disclosure NY|Use if a Computer Screen Illustration is shown to insured.
ALLS|B|==,LI|NY|02/02/2013,1:19:35 PM|FIC383NY Medical Questionnaire NY (0111) F.pdf|Medical Exam NY|
ALLS|B|==,LI|NY|02/02/2013,1:19:35 PM|NYLK44 Medical Exam Validation ALICNY(0111).pdf|Medical Exam Verification - NY|Used by paramedical company
ALLS|B|==,LI|NY|02/02/2013,1:19:35 PM|FIC383SANY Senior Assessment NY (0111) F.pdf|Senior Assessment NY|
ALLS|D|==,LI|NY|02/02/2013,1:19:35 PM|NYLR164-1 Good Health Statement NY (0812).pdf|Good Health Statement NY|
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384BIQNY Business Insurance Questionnaire NY (0111) F.pdf|Business Insurance Questionnaire  (NY)
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384CAQNY Civilian Aviation Questionnaire NY (0111) F.pdf|Civilian Aviation Questionnaire  (NY)
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384CFQNY Confidential Financial Questionnaire NY (0111) F.pdf|Confidential Financial Questionnaire  (NY)
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384CQNY Climbing Questionnaire NY (0111) F.pdf|Climbing Questionnaire  (NY)
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384DAQNY Drug & Alcohol Questionnaire NY (0111) F.pdf|Drug & Alcohol Questionnaire  (NY)
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384FTRQNY  Foreign Travel & Residence Questionnaire NY (0111) F.pdf|Foreign Travel & Residence Questionnaire  (NY)
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384MAQNY Military Aviation Questionnaire NY (0111) F.pdf|Military Aviation Questionnaire  (NY)
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384MSQNY Motor Sports Questionnaire NY (0111) F.pdf|Motor Sports Questionnaire  (NY)
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384SPQNY Skydiving & Parachuting Questionnaire NY (0111) F.pdf|Skydiving & Parachuting Questionnaire  (NY)
ALLS|U|==,LI|NY|02/02/2013,1:19:35 PM|FIC384UDQNY Underwater Diving Questionnaire NY (0111) F.pdf|Underwater Diving Questionnaire  (NY)
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC15AA-2 Authorization for Conversion AFS (0511) F.pdf|Roth Conversion|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC16AA-2 Authorization for Re-Characterization AFS (0111)F.pdf|Re-Characterization|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC17AA-5 Required Minimum Distribution AFS  (0612).pdf|RMD|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC255AA Unemployment Waiver AFS (0111) F.pdf|Unemployment Waiver|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC256AA TI & NH Waiver AFS (0111).pdf|Terminal Illness & Nursing Home Waiver
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC276NP-1 Non Periodic Withholding form-CW (0612) F.pdf|Withholding Non-Periodic
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC314 Physicians Disability Verification ALIC (0111) F.pdf|Physicians Disability Verification
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC359 Loan Agreement (0111) F.pdf|403(b) Loan Agreement
ALLS|S|==,LS,AS|NY|02/02/2013,1:19:35 PM|FIC374-1 Trustee Certification Form 0112 F.pdf|Trustee Certification
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC381 IRA Rollover Acknowledgement ALIC (0111) F.pdf|IRA Rollover Acknowledgement - Allstate
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC512 Collateral Assignment 1013.pdf|Collateral Assignment for Life|
ALLS|S|==,LS,AS|NY|02/02/2013,1:19:35 PM|W-7 Taxpayer Identification Number.pdf|Taxpayer Identification
ALLS|S|==,LS,AS|NY|02/02/2013,1:19:35 PM|W-9 Request for TIN (0111)F.pdf|Request for TIN
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|LBL6525 Service Provider Agreement for 403b Retirement (0111) F.pdf|Service Provider Agreement for 403b Retirement
ALLS|S|==,LS,AS|NY|02/02/2013,1:19:35 PM|W8BEN - Foreign Status Withholding (0111).pdf|Foreign Status Withholding
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|LBL7684 Foreign Residence Tax Disclosure (0111) F.pdf|Foreign Residence Tax Disclosure
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC90MBANYLIFE-2 (1012).pdf|Qualified Plan Distribution for Life - NY|
ALLS|S|==,LS|NY|06/08/2013,4:01:09 PM|FIC91MBANYLIFE-1 Qualified Plan Designation of Beneficiary for Life MBA NY (0613) PF.pdf|Qualified Plan Designation of Bene for Life - NY|
ALLS|S|==,LS|NY|06/08/2013,4:01:09 PM|FIC93MBANYLIFE-1 0613.pdf|Qualified Plan Transfer of Ownership for Life - NY|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC422DNY  Life Reinstatement App Disclosure (0612) PF.pdf|Reinstatement Application NY|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC422NY  Life Reinstatement App (0612) PF.pdf|Reinstatement Application NY|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC252NY Request for Automatic Premium Loan NY (0111) F.pdf|Whole Life II Request for Automatic Premium Loan  (NY)|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC253NY-2 Ultra Index Request for Service (1012) F.pdf|Request for Service - Ultra Index  (NY)|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC268NY-1 Full Internal 1035 Exchange into Existing Annuities NY (0111) F.pdf|Full 1035 Exchange into Exiting|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC313NY-1 Partial 1035 Disclosure ALICNY F.pdf|Partial 1035 Disclosure  (NY)|
ALLS|S|==,LS,AS|NY|02/02/2013,1:19:35 PM|FIC378AANY Release of Assignment-AFS NY-Annuity and Life  (0111) F.pdf|Release of Assignment  (NY)|Use to cancel a pending 1035 Exchange
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC275NY-1 Withholding form-Life-NY (1012) F.pdf|Withholding Life NY|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC276NP-1 Non Periodic Withholding RightFit Annual Statement - CW (0612) F.pdf|Withholding Non-Periodic NY|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC276PNY-1 Periodic Withholding form - NY (1012) F.pdf|Withholding Periodic|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC285NY-10 Request for Distri...otalAccumulator (1012) PF flat.pdf|Request for Distribution - TotalAccumulator|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC286NY-7 Allocation Change Request TotalAccumulator (0812).pdf|Allocation Change Request - TotalAccumulator|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC294AANY  Request For Duplicate Annuity Contract AFS NY (0111) F.pdf|Request for Duplicate Contract Annuity - NY|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC294AANYL Request for Duplicate Contract - Life (0111) F.pdf|Request for Duplicate Contract Life - NY|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC314NY Physicians Disability Verification NY (0111) F.pdf|Physicians Disability Verification|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC354MBANY Loan Reinstatement Election MBANY (0111) F.pdf|Loan Reinstatement Election  (NY)|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC364MBANY-3 403(b) Life Distribution (1012) F.pdf|403(b) Life Distributionn  (NY)|
ALLS|S|==,LS|NY|06/29/2013,1:19:35 PM|FIC77ALL Change of Beneficiary - Life and Annuity (0112) PF.pdf|Instructions for Completing a Beneficiary Change|
ALLS|S|==,LS|NY|06/08/2013,1:19:35 PM|FIC370MBANYLIFE-2 403(b) Designation of Beneficiary Form MBA NY (Life) (0613) PF.pdf|403(b) Designation of Beneficiary for Life|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC369NY Authorization to Release Information to a 3rd Party ALICNY (0111) F.pdf|Authorization to Release Information to a 3rd Party  (NY)|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|FIC392NY Confinement Hospital Waiver for Life (0111) F.pdf|Confinement Hospital Waiver NY|
ALLS|S|==,AS|NY|02/02/2013,1:19:35 PM|FIC80NY-3 (1011).pdf|1035 Exchange into New Annuity|
ALLS|S|==,LS|NY|02/02/2013,1:19:35 PM|NYLU754 ADB Terminal Illness  NY (0309).pdf|ADB Terminal Illness  NY|
AMGE|R|==,TA,TI,UA,UE,VU|AL,AK,AZ,AR,CO,GA,HI,ID,IL,IN,IA,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|12/11/2016,8:24:56 PM|ICC15-108086.pdf|Part A Long Application - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TA,TI,UA,UE,VU|CA|12/11/2016,8:24:56 PM|AGLC108086-CA-2015.pdf|Part A Long Application - CA - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TA,TI,UA,UE,VU|CT|12/11/2016,8:24:56 PM|AGLC108086-CT-2015.pdf|Part A Long Application - CT - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TA,TI,UA,UE,VU|DC|12/11/2016,8:24:56 PM|AGLC108086-DC-2015.pdf|Part A Long Application - DC - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
