
ALLS|LI|Life New  Business
ALLS|AN|Annuity New Business
ALLS|LS|Life Policy Service
ALLS|AS|Annuity Contract Service
AMGE|TA|Select-a-Term
AMGE|TI|ROPTerm
AMGE|TU|Ultra One Year Term
AMGE|UA|Secure Lifetime GUL II
AMGE|UE|Elite Indexed UL
AMGE|VU|AG Platinum Choice VUL
AMGE|DA|Deferred Annuity
AMGE|IA|Immediate Annuity
AMGE|AI|Accident Insurance
AMGE|HE|Health Insurance
AXAA|TA|ART Series 151X
AXAA|TL|Level Term Series 151X
AXAA|GI|Guaranteed Issue - Incentive Life
AXAA|SE|Policyholder Service
AXAA|VA|Variable Life
AXAA|IL|Indexed Life
AXAA|FP|Flexible Premium UL
AXAA|IS|Interest Sensitive Whole Life
BANN|TB|Term Life
BANN|UB|Universal Life
BANN|AR|Agent Resources
CETN|AA|Term Life Insurance
CINN|TL|Term Lite
CINN|TT|Term Traditional
CINN|TJ|Term Juvenile
CINN|UL|Universal Lite
CINN|UT|Universal Traditional
CINN|UJ|Universal Juvenile
CINN|PL|Whole Life Lite
CINN|PT|Whole Life Traditional
CINN|PJ|Whole Life Juvenile
CINN|AN|Annuity
CINN|DI|Disability Income
CINN|WL|Worksite Life
CINN|WD|Worksite Disability
CINN|AC|Agent Contracting and Information
GRAN|TB|Term Life
JOHU|T*|============  Term  =============
JOHU|TD|JH Drop Ticket - Term
JOHU|TM|Single Life Term
JOHU|TV|Single Life Term with Vitality
JOHU|S*|======  Survivorship Term  ======
JOHU|ST|Survivorship Term
JOHU|U*|=============  UL  ==============
JOHU|DU|JH Drop Ticket - UL
JOHU|AU|Accumulation UL
JOHU|PU|Performance UL
JOHU|TU|Protection UL
JOHU|GU|UL-G
JOHU|PL|Premier Life
JOHU|AI|Accumlation Indexed UL
JOHU|PI|Protection Indexed UL
JOHU|W*|=======  Survivorship UL  =======
JOHU|PS|Protection SUL
JOHU|FS|Peformance SUL
JOHU|SG|SUL-G
JOHU|X*|========= Variable Life =========
JOHU|DV|JH Drop Ticket - VUL
JOHU|AV|Accumulation VUL
JOHU|PV|Protection VUL
JOHU|V*|======  Survivorship VUL  =======
JOHU|SA|Accumulation SVUL
JOHU|SV|Protection SVUL
JOHU|SI|Protection Survivorship Indexed UL
JOHY|T*|============  Term  =============
JOHY|TM|Single Life Term
JOHY|TV|Single Life Term with Vitality
JOHY|S*|======  Survivorship Term  ======
JOHY|ST|Survivorship Term
JOHY|U*|=============  UL  ==============
JOHY|AU|Accumulation UL
JOHY|PU|Performance UL
JOHY|TU|Protection UL
JOHY|GU|UL-G
JOHY|PL|Premier Life
JOHY|AI|Accumlation Indexed UL
JOHY|PI|Protection Indexed UL
JOHY|W*|=======  Survivorship UL  =======
JOHY|PS|Protection SUL
JOHY|FS|Peformance SUL
JOHY|SG|SUL-G
JOHY|X*|========= Variable Life =========
JOHY|AV|Accumulation VUL
