00000000|ALLS|  Allstate Life Insurance Co of New York
00008431|AMGE| American General Life Insurance Company
00089622|AXAA|    AXA Equitable Life Insurance Company
00161134|BANN|           Banner Life Insurance Company
00198485|CETN|                 Centrian Life Insurance
00206030|CINN|       Cincinnati Life Insurance Company
00305759|GRAN|           Grange Life Insurance Company
00308318|JOHU| John Hancock Life Insurance Company USA
00382931|JOHY|  John Hancock Life Insurance Company NY
00396139|LNLI|    Lincoln Life & Annuity Company of NY
00403392|LNNA| Lincoln National Life Insurance Company
00514870|NORA|   North American Co for Life and Health
00579667|PROT|       Protective Life Insurance Company
00681814|PRUC|            Pruco Life Insurance Company
00752691|PRUJ|   Pruco Life Insurance Co of New Jersey
00768100|RELL|        ReliaStar Life Insurance Company
00820007|RELR|          ReliaStar Life Insurance of NY
00830936|SAGI|          Sagicor Life Insurance Company
00880925|SAVE|    Savings Bank Life Insurance Co of MA
00964664|TRAF|Transamerica Financial Life Insurance Co
00986523|TRAN|     Transamerica Life Insurance Company
01110803|UTST|United States Life Ins in the City of NY
01120972|WILP|    William Penn Life Insurance Co of NY
