[Thu May 04 22:51:07.334643 2017] [core:info] [pid 9091] [client 10.240.0.204:36734] AH00128: File does not exist: /home/ubuntu/workspace/public_html/favicon.ico, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 22:51:32.989471 2017] [core:info] [pid 9092] [client 10.240.0.204:36978] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 22:51:32.991019 2017] [core:info] [pid 9093] [client 10.240.0.69:48052] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 22:51:32.992530 2017] [core:info] [pid 9094] [client 10.240.1.64:47702] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 22:51:32.996167 2017] [core:info] [pid 9091] [client 10.240.1.17:59624] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 22:51:33.270340 2017] [core:info] [pid 9094] [client 10.240.0.69:48056] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 22:51:33.328676 2017] [core:info] [pid 9095] [client 10.240.0.69:48058] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 22:51:33.330228 2017] [core:info] [pid 9092] [client 10.240.0.204:36990] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:44:46.848931 2017] [core:info] [pid 13775] [client 10.240.0.204:45198] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:44:46.850246 2017] [core:info] [pid 13776] [client 10.240.1.19:51898] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:44:46.859247 2017] [core:info] [pid 13777] [client 10.240.1.17:60818] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:44:46.961882 2017] [core:info] [pid 13778] [client 10.240.0.119:53490] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:44:47.184349 2017] [core:info] [pid 13774] [client 10.240.0.204:45200] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:44:47.266336 2017] [core:info] [pid 13776] [client 10.240.1.17:60820] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:44:47.774070 2017] [core:info] [pid 13777] [client 10.240.1.64:50732] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:44:47.820135 2017] [core:info] [pid 13778] [client 10.240.0.119:53506] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
