[Thu May 04 23:19:35.113354 2017] [core:info] [pid 3536] [client 10.240.1.60:36462] AH00128: File does not exist: /home/ubuntu/workspace/public_html/new-template/index.html
[Thu May 04 23:19:35.341772 2017] [core:info] [pid 3540] [client 10.240.1.64:59814] AH00128: File does not exist: /home/ubuntu/workspace/public_html/favicon.ico, referer: https://practice-alee1412.c9users.io/new-template/index.html
[Thu May 04 23:19:45.834057 2017] [core:info] [pid 3538] [client 10.240.0.187:48318] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:19:45.926956 2017] [core:info] [pid 3536] [client 10.240.1.17:42560] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:19:45.927263 2017] [core:info] [pid 3537] [client 10.240.0.187:48320] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:19:45.930944 2017] [core:info] [pid 3540] [client 10.240.0.204:36832] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:31.697666 2017] [core:info] [pid 4068] [client 10.240.1.19:48292] AH00128: File does not exist: /home/ubuntu/workspace/public_html/public_html/Test.html
[Thu May 04 23:23:34.152468 2017] [core:info] [pid 4069] [client 10.240.1.19:48324] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:34.244738 2017] [core:info] [pid 4070] [client 10.240.1.19:48326] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:34.254176 2017] [core:info] [pid 4071] [client 10.240.0.119:42492] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:35.917569 2017] [core:info] [pid 4068] [client 10.240.1.19:48360] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:36.012785 2017] [core:info] [pid 4069] [client 10.240.1.19:48362] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:36.026812 2017] [core:info] [pid 4070] [client 10.240.0.179:37770] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:36.031301 2017] [core:info] [pid 4071] [client 10.240.1.15:53366] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:36.200484 2017] [core:info] [pid 4068] [client 10.240.1.19:48370] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:36.301200 2017] [core:info] [pid 4070] [client 10.240.1.19:48378] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:36.359935 2017] [core:info] [pid 4072] [client 10.240.1.19:48380] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://practice-alee1412.c9users.io/index.html
[Thu May 04 23:23:36.371443 2017] [core:info] [pid 4068] [client 10.240.0.206:54302] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://practice-alee1412.c9users.io/index.html
